,time,title,url
0,,Three Ukrainian Lawmakers Declare Bitcoin Holdings Worth $47 Million,https://news.bitcoin.com/ukrainian-lawmakers-bitcoin-holdings/
1,,Protonmail’s Beta Version Enables Automated Bitcoin Payments,https://news.bitcoin.com/protonmails-beta-version-enables-automated-bitcoin-payments/
2,,FBI Agent Admits to Stealing Silk Road Bitcoins Seized by U.S. Marshals,https://news.bitcoin.com/rogue-silk-road-agent-admits-to-stealing-bitcoins-seized-by-u-s-marshals/
3,,Xmr.to Claims to Offer Fully Anonymous Bitcoin Transactions,https://news.bitcoin.com/xmr-to-claims-to-offer-fully-anonymous-bitcoin-transactions/
4,,Venezuelan Bitcoin Mining Continues Despite Government Crackdown,https://news.bitcoin.com/venezuelan-bitcoin-mining-continues-despite-government-crackdown/
5,,Blockstream to Transmit Bitcoin Data to Earth Using Satellite Technology,https://news.bitcoin.com/blockstream-to-transmit-bitcoin-data-to-earth-using-satellite-technology/
6,,Goldman Sachs Technical Analyst Predicts Bitcoin’s ‘Top’ Is $4800,https://news.bitcoin.com/goldman-sachs-technical-analyst-predicts-bitcoins-top-is-4800/
7,,Bitcoin ETF Filed with SEC by Leading Gold Fund Manager Vaneck,https://news.bitcoin.com/bitcoin-etf-filed-sec-leading-gold-fund-manager-vaneck/
8,,BTC-e’s Haircut Plan: Half the Balances and Free ‘In-House Token’ Trades,https://news.bitcoin.com/btc-es-haircut-plan-half-the-balances-and-free-in-house-token-trades/
9,,An Inside Look at Bitkan’s ‘Bitcoin: Shape The Future’ Documentary,https://news.bitcoin.com/an-inside-look-at-bitkans-bitcoin-shape-the-future-documentary/
10,,Breeze Wallet Integrates Trustless Payment Hub Tumblebit,https://news.bitcoin.com/breeze-wallet-integrates-trustless-payment-hub-tumblebit/
11,,Bitcoin Cash Thrives During Its First Two Weeks of Life,https://news.bitcoin.com/bitcoin-cash-thrives-during-its-first-two-weeks-of-life/
12,,Russia Discusses Starting Cryptocurrency Mining With Its 20+ Gigawatt Surplus,https://news.bitcoin.com/russia-discusses-starting-cryptocurrency-mining-with-its-20-gigawatt-surplus/
13,,Arrests of Bitcoin Miners in Ukraine Spark Questions About Legality,https://news.bitcoin.com/arrests-bitcoin-miners-ukraine-questions-legality/
14,,Afghan Entrepreneur Empowers Women Through Bitcoin,https://news.bitcoin.com/afghan-entrepreneur-empowers-women-through-bitcoin-in-afghanistan/
15,,Bitbay Exchange Enters Indian Cryptocurrency Markets,https://news.bitcoin.com/bitbay-exchange-enters-indian-cryptocurrency-markets/
16,2017-08-16T05:00:50+00:00,PR: Rivetz Raises $5.5 Million in RvT Token Pre-Sale; Token Crowdsale...,https://news.bitcoin.com/rivetz-raises-5-5-million-in-rvt-token-pre-sale-token-crowdsale-begins-today-capped-at-200000eth/
17,2017-08-15T23:00:23+00:00,PR: Blockoptions Announces It’s Up-Coming ICO From 25th August to 25th...,https://news.bitcoin.com/pr-blockoptions-announces-coming-ico-25th-august-25th-september/
18,2017-08-15T15:00:47+00:00,PR: AMBROSUS Partners with TREK THERAPEUTICS to Develop Blockchain Tracking QA...,https://news.bitcoin.com/pr-ambrosus-partners-trek-therapeutics-develop-blockchain-tracking-qa-pharma-manufacturing/
19,,Russia Discusses Starting Cryptocurrency Mining With Its 20+ Gigawatt Surplus,https://news.bitcoin.com/russia-discusses-starting-cryptocurrency-mining-with-its-20-gigawatt-surplus/
