Категория: Все категории

Неделя,blockchain: (По всему миру),eth: (По всему миру),ethereum: (По всему миру),btc: (По всему миру),bitcoin: (По всему миру)
2015-08-02,1,2,0,7,11
2015-08-09,1,2,1,7,10
2015-08-16,1,2,0,5,12
2015-08-23,1,2,0,5,12
2015-08-30,1,2,0,7,10
2015-09-06,1,2,0,13,10
2015-09-13,1,3,0,8,10
2015-09-20,1,3,0,10,10
2015-09-27,1,2,0,7,10
2015-10-04,1,2,0,6,10
2015-10-11,1,2,0,6,10
2015-10-18,1,2,0,5,11
2015-10-25,2,2,0,7,13
2015-11-01,2,2,0,7,21
2015-11-08,1,2,0,5,15
2015-11-15,1,2,0,5,13
2015-11-22,1,2,0,5,12
2015-11-29,1,2,0,5,12
2015-12-06,2,2,0,5,20
2015-12-13,2,2,0,5,15
2015-12-20,2,2,0,5,14
2015-12-27,1,1,0,5,13
2016-01-03,1,2,0,5,14
2016-01-10,2,2,0,5,15
2016-01-17,2,2,0,5,15
2016-01-24,2,2,1,5,13
2016-01-31,2,2,1,4,12
2016-02-07,2,2,1,4,12
2016-02-14,2,2,1,5,14
2016-02-21,2,3,1,5,13
2016-02-28,2,3,2,5,13
2016-03-06,2,3,2,5,12
2016-03-13,2,3,2,5,12
2016-03-20,2,2,2,5,12
2016-03-27,2,2,2,5,12
2016-04-03,2,2,1,5,12
2016-04-10,2,2,1,5,12
2016-04-17,2,2,1,5,12
2016-04-24,2,2,1,6,14
2016-05-01,3,2,1,5,21
2016-05-08,3,2,1,5,14
2016-05-15,2,2,2,5,13
2016-05-22,3,2,2,5,13
2016-05-29,3,3,2,6,17
2016-06-05,3,2,2,6,16
2016-06-12,3,3,4,9,23
2016-06-19,3,2,3,11,23
2016-06-26,3,2,2,9,18
2016-07-03,3,2,2,8,18
2016-07-10,2,2,1,8,15
2016-07-17,2,2,2,6,13
2016-07-24,2,2,3,6,13
2016-07-31,2,2,2,9,18
2016-08-07,2,2,2,14,14
2016-08-14,2,2,1,11,13
2016-08-21,3,2,1,12,13
2016-08-28,3,2,1,10,13
2016-09-04,3,2,1,10,14
2016-09-11,3,2,1,9,13
2016-09-18,3,3,2,8,13
2016-09-25,3,3,1,6,13
2016-10-02,3,3,1,6,13
2016-10-09,3,3,1,6,14
2016-10-16,3,2,1,5,13
2016-10-23,4,2,1,6,16
2016-10-30,3,3,1,6,17
2016-11-06,3,2,1,6,17
2016-11-13,4,2,1,6,17
2016-11-20,4,2,1,6,17
2016-11-27,4,2,1,6,17
2016-12-04,4,2,1,6,17
2016-12-11,4,2,1,6,17
2016-12-18,3,2,1,8,21
2016-12-25,3,2,1,8,24
2017-01-01,4,2,2,11,38
2017-01-08,4,2,1,9,29
2017-01-15,4,2,1,8,23
2017-01-22,4,2,1,7,21
2017-01-29,4,2,1,7,22
2017-02-05,4,2,1,8,24
2017-02-12,4,2,1,7,22
2017-02-19,4,3,1,8,26
2017-02-26,5,3,3,9,31
2017-03-05,5,3,3,10,35
2017-03-12,5,4,7,10,30
2017-03-19,5,3,5,10,30
2017-03-26,5,3,4,9,26
2017-04-02,5,3,4,9,25
2017-04-09,4,3,3,9,25
2017-04-16,4,2,3,9,25
2017-04-23,5,3,5,9,27
2017-04-30,5,4,9,12,37
2017-05-07,6,4,7,14,50
2017-05-14,6,4,8,14,60
2017-05-21,8,7,25,22,100
2017-05-28,7,6,19,17,66
2017-06-04,7,7,23,18,64
2017-06-11,8,10,37,21,70
2017-06-18,8,8,29,18,57
2017-06-25,7,8,27,17,58
2017-07-02,7,6,17,15,48
2017-07-09,7,6,21,15,54
2017-07-16,7,6,20,19,62
2017-07-23,7,5,14,18,57
2017-07-30,7,5,14,19,78
